English,German
a young skateboarder looks off into the distance,ein junger skateboardfahrer blickt in die ferne
a man and two boys jump on a trampoline,ein mann und zwei jungen hüpfen auf einem trampolin
a group of people playing a game with a tennis ball on a beach,eine gruppe von menschen spielt am strand ein spiel mit einem tennisball
a man with a strange helmet is sitting on top of a blue motorcycle,ein mann mit einem seltsamen helm sitzt auf einem blauen motorrad
a mailman in his truck whom is in front of a gate,ein postmann in seinem lieferwagen der vor einem tor steht
here is a picture of two men walking in and out of a police station,ein bild von zwei männern die ein polizeipräsidium betreten und verlassen
a person is setting at a table in a cafe,eine person die in einem café an einem tisch sitzt
a young boy in a red life jacket is swimming in a pool,ein kleiner junge in einer roten schwimmweste schwimmt in einem pool
a woman in an overcoat is using her phone while standing outside of a building,eine frau in einem übermantel telefoniert während sie vor einem gebäude steht
two children stand with a net by a shallow shore,zwei kinder stehen mit einem netz stehen an einem flachen ufer
two men in hats digging up rocks and dirt,zwei männer in hüten buddeln steine und dreck aus dem boden
a male singer wearing sunglasses singing to a microphone,ein sänger mit sonnenbrille singt in ein mikrofon
six people are rafting in a river with a valley scenery,sechs menschen raften in einem fluss in einer talgegend
a lady wearing a bonnet is sitting down with her hands on her lap,eine dame mit einer haube sitzt mit den händen im schoß da
a man floating about on the water looking at something white in his hands,ein mann lässt sich auf dem wasser treiben und blickt dabei auf etwas weißes in seinen händen
two men standing on a rock at the edge of the ocean,zwei männer stehen auf einem felsen am ufer des ozeans
a orchestra performing a piece,ein orchester spielt ein stück
a woman outside on the city streets wearing a black shirt talking on the phone,eine frau die ein schwarzes hemd trägt steht draußen auf der straße und telefoniert auf einem handy
three people acting in a play,drei menschen spielen in einem stück
an orange canoe aimed toward two other canoes on a lake,ein orangefarbenes kanu bewegt sich auf zwei andere kanus auf einem see zu
young kids showing a game they play in their country,kleine kinder zeigen ein spiel das man in ihrem heimatland spielt
a man in a baseball cap is participating in a protest against ice raids in front of stonehurst elementary school,ein mann mit baseballkappe beteiligt sich an einem protest gegen razzien der einwanderungsbehörde ice vor der stonehurst elementary school
an older man is standing alone on a sidewalk at night,eine älterer mann steht nachts allein auf einem bürgersteig
a group of man are sitting outside playing music,eine gruppe von männern sitzt im freien und spielt musik
a man leans beside a cow in a grassy field,ein mann lehnt neben einer kuh auf einem grasbewachsenen feld
a male dressed in a blue and red outfit is jumping over a small wave,ein mann in einem blau-roten outfit springt über eine kleine welle
a man in a orange jacket is falling into a snowy hillside,ein mann in einer orangen jacke fällt einen schneebedeckten hang hinunter
a nanny watching her neighbors kids after a long hot day in the city of las vegas nevada,ein kindermädchen beobachtet die kinder ihrer nachbarn nach einem langen heißen tag in las vegas nevada
man with red coat and pointy hair is blowing on a kazoo on stage,ein mann in einem roten mantel und mit spitz abstehenden haaren spielt kazoo auf einer bühne
friends and family dance on a beach by their vehicles,freunde und familie tanzen am strand in der nähe ihrer fahrzeuge
a young couple walk along a stream on a hot day,ein junges pärchen geht an einem heißen tag an einem bach entlang
a man waits at a bus stop next to a truck covered in graffiti,ein mann wartet an einer bushaltestelle neben einem mit graffiti bedeckten lastwagen
african people in tribal wear in a desert,afrikanische personen mit stammeskleidung in der wüste
a girl splashes water into a pickup truck driving past,ein mädchen spritzt wasser in einem vorbeifahrenden pickup-truck
a dark-haired woman is placing a label on a cigar,eine dunkelhaarige frau bringt eine binde an einer zigarre an
a woman is eating what appears to be a mussel,eine frau isst etwas das aussieht wie eine muschel
a girl watches sports players by a wall covered in graffiti,ein mädchen beobachtet sportler vor einer mit graffiti bedeckten wand
children wearing costumes sit in front of a imac monitor,kinder in kostümen sitzen vor einem imac-monitor
boy on skateboard riding in front of tall concrete statue with bronze statue on top,junge fährt skateboard vor hoher betonstatue mit bronzestatue darauf
some caucasians appear to be preparing foods and drinks,einige kaukasier bereiten offenbar speisen und getränke zu
a small child wearing a hat is playing on rocks at the edge of a body of water,ein kleines kind mit kopfbedeckung spielt auf steinen am wasser
the basketball player is dropping the basketball into the net,der basketballspieler wirft den basketball ins netz
three men sit down in a building illuminated with green light,drei männer sitzen in einem gebäude das mit grünem licht beleuchtet wird
a woman in a light blue jacket is riding a bike,eine frau in einer hellblauen jacke fährt fahrrad
a snowboarder flips upside down with a snow covered hill in the background,ein snowboarder macht mit einem schneebedeckten hügel im hintergrund einen salto
a man in front of a lake cleaning fish in a striped shirt,ein mann in einem gestreiften hemd putzt an einem see fische
a man and a woman enjoy a nice meal at an outdoor restaurant,ein mann und eine frau lassen es sich bei einer schönen mahlzeit in einem biergarten gut gehen
a child wearing a helmet riding a mountain bike very fast through a forest,ein kind das einen helm trägt fährt schnell mit seinem mountainbike durch einen wald
a man in a blue shirt is kissing a woman with blond-hair on the cheek,ein mann in einem blauen hemd küsst eine frau mit blonden haaren auf die wange
a boy is leaping over a blue hose pipe as a little girl watches,ein junge springt über eine blaue schlauchleitung während ein kleines mädchen zusieht
a dog at a competition runs down a ramp,ein hund läuft bei einem wettbewerb eine rampe hinunter
two young boys playing checkers in a room,zwei jungen in einem zimmer spielen dame
numerous people exploring an art installation in a city square,zahlreiche menschen erforschen eine kunstinstallation auf einem stadtplatz
a man mowing a lawn at a commercial property,ein mann mäht auf einem geschäftsgrundstück rasen
a woman sits with her baskets of flowers,eine frau sitzt bei ihren körben voll blumen
well above the mountains timberline this young woman seems to be safely equipped for scaling the sheer mountain wall,weit oberhalb der baumgrenze der berge scheint diese junge frau sicher ausgerüstet zu sein um die steile bergwand hochzuklettern
a french bike cab with no passengers sitting by a crosswalk,ein französisches fahrradtaxi steht ohne passagiere an einer kreuzung
a young boy in a green wheel barrel with a girl pushing him,ein junge in einer grünen schubkarre den eine mädchen schiebt
a man with a white hat is sitting at a table listening to a man sing and play the guitar,ein mann mit einer weißen kopfbedeckung sitzt an einem tisch und hört einem mann zu der singt und gitarre spielt
a man dressed in a hat and blue coat rides his bicycle past an outdoor gao quy stand on a sunny day,ein mann mit hut und einem blauen mantel fährt mit seinem fahrrad an einem sonnigen tag an einem gao-stand vorbei
a group of people wearing numbers in the street,eine gruppe leute trägt nummern auf der straße
we will take this photo together and put it in face book,wir machen dieses foto zusammen und setzen es auf facebook
toddler in a green shirt is brushing his teeth with a yellow toothbrush while being supervised by mom,kleines kind in einem grünem shirt putzt sich unter mamas aufsicht mit einer gelben zahnbürste die zähne
a little brown dog is running on the grass,ein kleiner brauner hund rennt durch das gras
many people are gathered around the street watching two street performers,mehrere personen auf der straße die zwei straßenkünstlern zusehen
four people posing for a picture,vier personen posieren für ein foto
a swimmer with a blue cap and blue goggles swims in calm water,ein schwimmer mit blauer kappe und blauer schwimmbrille schwimmt in ruhigem wasser
a man in a black hat pushes against a giant rock,ein mann mit schwarzem hut drückt gegen einen riesigen felsen
a man wearing a bowtie and glasses poses for a photo,ein mann mit fliege und brille posiert für ein foto
two men in separate kayaks going through rapids,zwei männer in einerkajaks fahren durch stromschnellen
a woman in a red shirt holding a cellphone,eine frau in rotem hemd hält ein mobiltelefon
a black and white dog with a blue dog toy in its mouth walks across a grassy yard,ein schwarz-weißer hund mit einem blauen hundespielzeug im maul läuft über einen grasbewachsenen hof
a man with a balloon hat and people eating outdoors at picnic tables,ein mann mit einem luftballonhut und leute die im freien an picknicktischen essen
there is a woman holding a baby along with a man with a save the children bag,da ist eine frau die ein baby hält zusammen mit einem mann mit einer tasche auf der &quot; save the children &quot; steht
homeless man wearing thick jacket looks at his food,ein obdachloser in einer dicken jacke betrachtet sein essen
two men having a conversation about business over beers,zwei männer unterhalten sich bei einem bier über geschäftliches
a man in a black shirt is singing into a microphone,ein mann mit schwarzem hemd singt in ein mikrofon
a girl is walking by a window with a purse,ein mädchen mit handtasche geht zu fuß an einem fenster vorbei
a young girl is eating as she sits at a table full of food,ein junges mädchen sitzt an einem tisch voller essen und isst etwas
two men trading a sausage link with each other via mouth,zwei männer geben einander mit dem mund ein würstchen weiter
cyclists ride through a forest while onlookers cheer,radfahrer fahren durch einen wald während zuschauer ihnen zujubeln
cars parked on the street at night,nachts auf der straße geparkte autos
a child plays in the snow with a green shovel,ein kind spielt mit einer grünen schaufel im schnee
a red suv with a woman inside,ein roter suv mit einer frau darin
some people are crossing a green bridge over a river,ein paar leute gehen auf einer grünen brücke über einen fluss
a bride is hugging a person with short blond-hair,eine braut umarmt eine person mit kurzem blondem haar
a person with dark hair wearing a white tank top red pants and white shoes is walking down a sidewalk with artwork displayed against a wall,eine dunkelhaarige person mit weißem tanktop roter hose und weißen schuhen geht einen gehweg entlang auf dem an eine mauer gelehnte kunstwerke ausgestellt werden
a woman painting something on a little girl &apos;s face,eine frau malt etwas auf das gesicht eines kleinen mädchens
a little girl checking out her clothing,ein kleines mädchen überprüft ihre kleidung
an old person is sitting in a plush chair with a huge white dog laying on top of him or her,eine alte person sitzt in einem plüschsessel mit einem riesigen weißen hund der auf ihr liegt
a woman in a halter top walking with her friends,eine frau die ein bustier mit nackenträger anhat geht mit ihren freundinnen spazieren
a little boy wearing swim trunks plays in the ocean,ein kleiner junge mit badehose spielt im meer
a man in a red uniform standing outside of broad st station talking on a cellphone,ein mann in einer roten uniform steht vor broad st station und telefoniert mit einem handy
one boxer attempts to punch his defensive opponent with a fierce expression on his face,ein boxer versucht seinem defensive gegner mit geballter kraft ins gesicht zu schlagen
one female and two male musicians holding musical equipment,eine musikerin und zwei musiker tragen musikausrüstung
many young people are sitting and laying on blankets in a field,viele junge leute sitzen und liegen auf decken auf einem feld
a man in a gray shirt has his arms raised,ein mann in einem grauen hemd hat seine arme gehoben
a worker is holding a yellow machine on an escalator,ein arbeiter hält eine gelbe maschine auf einer rolltreppe
person sitting at a desk in a library,eine person sitzt an einem schreibtisch in einer bibliothek
a woman and a child both with dark hair and eyes play with two puppies that are lying on the ground,eine frau und ein kind beide mit dunklen haaren und dunklen augen spielen mit zwei welpen die auf dem boden liegen
a small girl in blue shirt walking alone in a yellow parking lot,ein kleines mädchen in einem blauen hemd geht allein durch einen gelben parkplatz
a dj is spinning records at a club full of people,ein dj dreht platten in einem klub voller leute
a boat with people and their belongings is in the water,ein boot mit menschen und ihrem hab und gut befindet sich im wasser
a child looking through a telescope on a playground,ein kind schaut auf einem spielplatz durch ein teleskop
a young child wearing a yellow shirt is standing on the sidewalk,ein kleines kind mit gelbem t-shirt steht auf dem bürgersteig
two men in a field or jungle looking at something,zwei männer in einem feld oder dschungel schauen auf etwas
construction workers dressed in safety vests and hard hats inspect their work,mit sicherheitswesten und helm bekleidete bauarbeiter prüfen ihre arbeit
a woman in a red shirt standing in an open courtyard doing an exercise with a man in a white shirt and pants onlooking,eine frau in einem roten t-shirt macht übungen in einem offenen innenhof während ein mann mit einem weißen hemd und weißer hose zuschaut
a group of boys enjoying a day by down the creek,jungen genießen einen tag am bach
a asian women walks to a pillar next to a building,eine asiatische frau geht zu einer säule neben einem gebäude
a woman in a blue top and hat is stretching or performing yoga on the beach,eine frau mit hut in einem blauem oberteil macht am strand yoga oder stretching
two young boys holding saxophones,zwei jungen halten saxophone in den händen
a lady wearing a red shirt is seated next to others on a sidewalk and holding a camera,eine dame mit rotem hemd sitzt neben anderen menschen auf einem bürgersteig und hält eine kamera
with a tub resting on its outer roof flags attached the car is ready to take off for the rally,mit einer badewanne auf dem dach und befestigten fahnen ist das auto bereit für den start der rallye
a bride and groom wearing leis cutting their wedding cake,eine braut und ein bräutigam die blumenkränze tragen schneiden ihre hochzeitstorte an
a rodeo guy in a red shirt rides a bucking bronco,ein rodeoreiter in einem roten oberteil reitet auf einem bockenden wildpferd
the child is riding a vehicle along a gated path next to a beach area,das kind fährt auf einem fahrzeug einen geschlossenen pfad neben einem strandbereich entlang
a man in a red sweater waits at a street food stand,ein mann in einem roten pullover wartet an einem essensstand an der straße
a young boy and girl are sleeping in a bed,ein junge und ein mädchen schlafen in einem bett
two people in two kayaks are paddling on the coast with trees on a hill in the background,zwei menschen in zwei kajaks paddeln an der küste im hintergrund sind bäume auf einem hügel
two men abroad enjoy talking about their differences,zwei männer auf reisen unterhalten sich über ihre unterschiede
people going up an escalator in the mall,menschen fahren im einkaufszentrum auf einer rolltreppe hoch
a small white dog is running across a grassy field,ein kleiner weißer hund läuft über eine wiese
an elderly man sits outside a storefront accompanied by a young boy with a cart,ein älterer mann sitzt mit einem jungen mit einem wagen vor einer fassade
kayaker in protective helmet and blue kayak keeps afloat in raging waters,kajakfahrer mit schutzhelm und blauem kajak trotzt stürmischem wasser
three men playing music on a stage one is on the piano one is singing while the other is playing a drum with his hands,drei männer spielen auf der bühne musik einer spielt klavier der zweite singt und der dritte spielt trommel
little boy in jeans red striped shirt and sneakers sitting on tree branch,ein kleiner junge in jeans einem rot gestreiften oberteil und turnschuhen sitzt auf einem ast
a tennis player moving for a shot,ein tennisspieler bewegt sich um einen ball zu schlagen
child playing with a hula hoop on a cement driveway in housing alotment,kind spielt mit hula-hoop-reifen auf einer betoneinfahrt einer hausparzelle
a man sits with a paper in his hands,ein mann sitzt mit einem blatt papier in der hand da
a woman posing with a kid in the background playing with bubbles,eine frau posiert und im hintergrund spielt ein kind mit seifenblasen
a lady with curly brown hair stands in a crowd with a camera,eine dame mit lockigen braunen haaren steht mit einer kamera in einer menschenmenge
a child in yellow attempts a goal at a soccer game while the goalie in red tries to block the shot,ein gelb gekleidetes kind schießt auf ein tor und der torhüter versucht den schuss abzuwehren
a man in a black t-shirt is looking at a menu,ein mann mit schwarzem t-shirt der eine speisekarte ansieht
a street vendor cooks under a single light bulb at night,ein straßenhändler kocht nachts unter einer einzelnen glühbirne
a man in a tan colored shirt cutting food,ein mann in einem bunten lederoberteil schneidet essen
a guy is on the ground in a bullring near a half airborne white bull while another guy steps toward him,ein mann befindet sich auf dem boden einer stierkampfarena neben einem weißen auf den vorderbeinen stehenden stier während ein anderer mann auf ihn zuläuft
a boy in red prepares to slide down a blue slide,ein rot gekleideter junge bereitet sich darauf vor eine blaue rutsche herunter zu rutschen
a rottweiler carries a very long stick in his mouth through the woods,ein rottweiler trägt einen sehr großen stock in seiner schnauze durch den wald
a young boy runs past a graffiti covered wall,ein kleiner junge läuft an einer mit graffitis bemalten wand entlang
a man is sitting inside of a mailbox with a phone in his hand,ein mann sitzt in einem briefkasten mit einem telefon in der hand
a woman and a younger child are walking in the woods,eine frau und ein kind gehen im wald spazieren
a man climes out of a hole in the ice up a wooden ladder,ein mann steigt über eine holzleiter aus einem eisloch
people watch as something lights up the sky,personen schauen hoch als der himmel von etwas erleuchtet wird
a man and woman are waiting for their food at a restaurant,ein mann und eine frau warten in einem restaurant auf ihr essen
a woman is holding green and gold pompoms,eine frau hält pompoms in grün und gold in den händen
a man wearing a blue hat and a blue jacket standing on the sidewalk,ein mann mit einem blauen hut und einer blauen jacke steht auf dem gehweg
a man in a blue jacket is talking into a microphone,ein mann in einer blauen jacke spricht in ein mikrofon
a mom holding her baby in her lap,eine mutter hält ihr baby auf dem schoß
a girl wearing an orange vest is riding a brown horse,ein mädchen in einer orangen weste reitet auf einem braunen pferd
a man walking down the street,ein mann geht die straße entlang
rollerskaters battle it out on the concrete,inlineskater treten gegeneinander auf einer betonbahn an
a woman in a black beanie looks up at a bearded man,eine frau in einer schwarzen mütze sieht zu einem bärtigen mann
the man is aiming in on his target,ein mann visiert sein ziel an
a nurse is listening to another women &apos;s heartbeat with a stethoscope,eine krankenschwester hört mit einem stethoskop das herz einer anderen frau ab
a young man sits on a couch and smokes,ein junger mann sitzt auf einer couch und raucht
a gray bearded man slices blade into some poultry on a cutting board,ein graubärtiger mann schneidet geflügel auf einem schneidebrett
commuters on a train going to work,pendler die zur arbeit fahren in einem zug
a black girl and white girl walking hand and hand in a busy area of a city with a public train in the background,ein dunkelhäutiges mädchen und ein hellhäutiges mädchen gehen hand in hand in einem belebten stadtteil spazieren während im hintergrund eine öffentliche bahn zu sehen ist
a motocross driver speeds by during a race,eine motocrossfahrer fährt mit hoher geschwindigkeit während eines rennens vorbei
two basketball players play in a game,zwei basketballspieler befinden sich in einem spiel
people hiking through an icy hilly landscape,personen die durch eine hügelige frostlandschaft wandern
four kids rolling and sliding down a sand dune,vier kinder rollen und rutschen eine sanddüne herunter
females are painting a large grid painting of africa and other parts of the world,frauen malen ein großes rasterbild von afrika und anderen teilen der welt
a little boy in blue doing bike jumps,ein kleiner junge in blauer kleidung macht fahrradsprünge
woman on cellphone running in the snow,eine frau mit handy läuft durch den schnee
a damaged car is parked across from people in a gray car,ein beschädigtes auto ist gegenüber von den insassen eines grauen autos abgestellt
a skier catches air over the snow,ein skifahrer schnappt über dem schnee luft
a woman very excited looking to the right,eine sehr aufgeregte frau die nach rechts blickt
a small sweets vendor sells under a tent at night,ein kleiner süßigkeitenverkäufer verkauft nachts in einem zelt
two bmx riders racing on a track,zwei bmx-fahrer machen ein rennen auf einer strecke
there are two people walking in the sand,zwei personen laufen auf dem sand
five children play in a flooded ( or intentionally watered ) playground,fünf kinder spielen auf einem überfluteten ( oder absichtlich unter wasser gesetzten ) spielplatz
female tennis player in green shorts and red shirt serving on a grass court at 126 kilometers per hour,eine tennisspielerin in grünen shorts und rotem oberteil schlägt auf einem grasplatz mit 126 kilometern pro stunde
an elderly man working with several lines of string,ein älterer mann arbeitet mit mehreren schnüren
a young girl in swim goggles does the backstroke in a pool,ein kleines mädchen mit schwimmbrille beim rückenschwimmen in einem becken
two dogs run in a field looking at an unseen frisbee,zwei hunde rennen über ein feld und blicken dabei auf eine unsichtbare frisbeescheibe
two people walking across a street,zwei menschen überqueren eine straße
a street vendor is reading a newspaper while waiting for customers,ein straßenhändler wartet auf kunden und liest zeitung
two competitive cyclists ride through a corridor,zwei konkurrierende radsportler fahren durch einen durchgang
a male vocalist plays guitar and sings under the spotlight,ein mann singt und spielt gitarre im scheinwerferlicht
woman wearing a stocking cap standing in a subway tunnel,eine frau mit einer mütze steht in einem u-bahn-tunnel
a man surfing on a wave with a few people behind him swimming,ein mann surft auf einer welle während einige menschen hinter ihm schwimmen
a dog is laying on his side on a sidewalk with his mouth open and showing his teeth,ein hund liegt auf der seite auf einem gehweg hat die schnauze geöffnet und zeigt seine zähne
two men playing guitar on stage with two female background singers,zwei männer spielen auf der bühne gitarre mit zwei frauen als background-sängerinnen
a man and woman standing at a counter with food,ein mann und eine frau stehen mit essen an einer theke
a man in a suit is holding an american flag next to a white screen with a logo on it,ein mann im anzug hält vor einer leinwand auf der ein logo zu sehen ist eine amerikanische flagge
a man walks down a street where the houses are painted in a geometric pattern,ein mann geht eine straße neben häusern die in einem geometrischen muster angemalt sind entlang
a single man in a blue t-shirt jeans and a baseball cap works on a roof of a house laying shingles,ein einzelner mann mit einem blauen t-shirt jeans und einer baseballkappe arbeitet auf dem dach eines hauses und verlegt dachziegel
two dogs play with each other in the leaves,zwei hunde spielen miteinander im laub
a man in a blue shirt fixing a bicycle in a yellow room,ein mann in einem blauen oberteil repariert ein fahrrad in einem gelben raum
a black dog and a brown dog with a stick in his mouth are running in the field,ein schwarzer hund und ein brauner hund mit einem stock im maul rennen über die wiese
six people on a cliff taking a picture of their of the water,sechs personen auf einer klippe machen ein foto
a boy throws leaves into the air,ein junge wirft blätter in die luft
an old man in a coat and hat sitting on a park bench,ein alter mann in einem mantel und mit hut sitzt auf einer parkbank
a female singer and male guitarist and drummer perform on a stage,eine sängerin ein gitarrist und ein schlagzeuger treten auf einer bühne auf
men converse as two men are in a bucket lift,männer unterhalten sich während zwei männer im arbeitskorb stehen
a female is singing into a microphone during an outdoor rock band concert,eine frau singt bei einem rockkonzert im freien in ein mikrofon
a man holding tongs at a barbecue,ein mann hält bei einem grillfest eine grillzange
a couple sits on a bench talking while a woman walks a dog in the background,ein paar sitzt auf einer bank und unterhält sich während im hintergrund eine frau einen hund spazieren führt
several people are sitting around a picnic table drinking beers,mehrere menschen sitzen um einen picknicktisch herum und trinken bier
a very large group of people stand outdoors under the beautiful clouds,eine sehr große gruppe steht im freien unter schönen wolken
a young man has fallen asleep outside while resting his head on his backpack,ein junger mann ist draußen mit dem kopf auf dem rucksack eingeschlafen
the little girl with the green necklace is running away from the net,das kleine mädchen mit dem grünen halsband rennt weg vom netz
a man on stage singing into a microphone,ein mann auf der bühne singt in ein mikrophon
two employees look on as another employee is tossing dough in a commercial kitchen,zwei mitarbeiter sehen zu während ein anderer mitarbeiter teig in einer großküche teig zubereitet
a woman wading through a pool in front of a waterfall,eine frau wadet vor einem wasserfall durch einen teich
a black woman sitting with an asian girl wearing fake tattoos,eine schwarze frau sitzt neben einem asiatischen mädchen mit temporären tätowierungen
a girl in a red and white uniform is swinging a bat,ein mädchen in einer roten und weißen uniform schwingt einen schläger
an oddly dressed man wearing a plaid skirt and knee-high black boots stands is in the middle of a crowded area,ein merkwürdig gekleideter mann im karierten rock und kniehohen schwarzen stiefeln steht mitten auf einem belebten platz
a woman wearing a green headscarf laughs while a woman in the background paddles a boat,eine frau mit einem grünen kopftuch lacht während eine andere frau im hintergrund mit einem paddelboot fährt
many people in bright orange vests seem to be working in a large building,viele menschen in leuchten orangefarbenen westen scheinen in einem großen gebäude zu arbeiten
a man is breakdancing on a large mat while some people watch,ein mann macht einen breakdance auf einer großen matte während einige leute zuschauen
little girl in a green child carrier placed on the round,ein kleines mädchen in einer grünen babytrage wurde auf dem boden abgestellt
a man riding his bike with newspapers in the basket,ein mann fährt sein fahrrad mit zeitungen in dem korb
children sit at a long blue table and draw pictures with crayons,kinder sitzen an einem langen blauen tisch und malen mit farbstiften bilder
a man in a suit is sitting outdoors and is using his laptop computer,ein mann im anzug sitzt draußen und benutzt seinen laptop
a man is checking his phone while walking his dog along the pier,ein mann guckt auf sein telefon während er seinen hund am pier gassi führt
a woman balances a small child on her hip,eine frau trägt ein kleines kind auf ihrer hüfte
three teenagers dancing one evening on the street,drei teenager tanzen an einem abend auf der straße
a man in a green shirt enjoying a meal and drink,ein mann in einem grünen oberteil genießt eine mahlzeit und ein getränk
a couple is eating outside at a table and he is pointing at something,ein pärchen isst im freien an einem tisch und zeigt auf etwas
four people are standing behind a balcony in front of a brick building,vier menschen stehen hinter einem balkon vor einem ziegelbau
a crowd is enjoying an outdoor festival,eine menschenmenge vergnügt sich bei einem open-air-festival
a young boy carrying a large soccer ball with a soccer feild in the background,ein kleiner junge trägt einen großen fußball und ein fußballfeld ist im hintergrund
a worker with a white hard-hat is at the bottom landing of an exterior fire escape and is struggling to work with the edge of a large yellow sign,ein arbeiter mit einem weißen schutzhelm befindet sich unten an einer feuerleiter und hat mit der kante eines großen gelben schilds zu kämpfen
a man in a black hat walks down the street,ein mann mit schwarzem hut geht die straße entlang
two girls riding on an amusement part ride,zwei mädchen fahren auf einem fahrgeschäft in einem freizeitpark
two little girls looking out at airfield with wonder,zwei kleine mädchen betrachten staunend ein flugfeld
two men in blue shirts stand in a tent area,zwei männer in blauen hemden stehen in einem zeltbereich
a man in a blue shirt jumping down a hill in a park,ein mann in blauem hemd springt in einem park von einem hügel
little boy scout leaning on a full outdoor table of asian diners,kleiner pfadfinderjunge lehnt im freien an einem gedeckten tisch mit asiatischen speisenden
a woman with sunglasses on her head and standing in front of an art display,eine frau mit sonnenbrille auf dem kopf steht vor einer kunstausstellung
a group of children play in the street where water is sprayed,eine gruppe von kindern spielt in der straße wo wasser verspritzt wird
an old man sitting in a chair reading a book,ein alter mann sitzt auf einem stuhl und liest ein buch
an asian man with an asian kid with a balloon around his head,ein asiatischer mann mit einem asiatischen kind das einen ballon um den kopf gewickelt hat
a young girl is rolling a giant snowball outside,ein kleines mädchen rollt einen riesigen schneeball im freien
two men are roasting marshmallows outside at a campfire,zwei männer rösten draußen an einem lagerfeuer marshmallows
you know i am looking like justin bieber,du weißt dass ich aussehe wie justin bieber
two men in the military are playing baseball,zwei männer beim militär spielen baseball
a woman and child making a creature out of paper products,eine frau und ein kind machen eine figur aus papier
mother and daughter going up town to go shopping,mutter und tochter gehen zum einkaufen in die stadt
the two girls are enjoying sledding in the snow,die beiden mädchen genießen das rodeln im schnee
a group of male bicyclists talk outside a bar with their gear sitting on the ground,eine gruppe von männlichen motorradfahrern unterhält sich vor einer bar während ihre ausrüstung auf dem boden liegt
a group of men surround a woman in a headscarf,eine gruppe von männern umgibt eine frau mit kopftuch
two girls one in a red shirt and blue skirt are washing a red truck,zwei mädchen eins in einem roten hemd und blauen rock waschen einen roten laster
a group of people standing on the steps of an old house,eine personengruppe steht auf den stufen eines alten hauses
a man paddles on a blue boogie board,ein mann paddelt auf einem blauen boogie board
a large group of people are running a marathon and being watched by spectators,viele teilnehmer laufen einen marathon und die zuschauer sehen ihnen zu
a young girl holding a cake with candles dressed in a heavy coat,ein mädchen das einen schweren mantel trägt und einen kuchen mit kerzen hält
a person in a large field plays with a model airplane,auf einem großem feld spielt jemand mit einem modellflugzeug
a black woman in a white shirt and red flip-flops is holding an octopus,eine dunkelhäutige frau in einem weißen hemd und roten flip-flops hält einen tintenfisch in der hand
a young boy runs along a boardwalk towards a pigeon,ein kleiner junge rennt über einen uferweg auf eine taube zu
firefighters stand on the roof of a building surrounded by trees,feuerwehrmänner stehen auf dem dach eines hauses das von bäumen umgeben ist
an old woman is sitting next to a young girl with her fingers in her mouth,eine alte frau sitzt neben einem jungen mädchen das die finger im mund hat
a woman in a green shirt is running a race and looking at her watch,eine frau in einem grünen t-shirt läuft ein rennen und schaut auf ihre uhr
a young women with a pink mask over her face,eine junge frau mit einer rosafarbenen maske über ihrem gesicht
a woman stands in front of a man holding a small smiling baby,eine frau steht vor einem mann der ein kleines lächelndes baby hält
two men put their arms and legs out to the side,zwei männer strecken die arme und beine zur seite
two boys prepare a small sailboat as two girls watch them from the beach,zwei jungen bereiten ein kleines segelboot vor während ihnen zwei mädchen vom strand aus dabei zusehen
a man with a red sweater with a paper badge looking down at something,ein mann mit einem roten pullover mit papierabzeichen blickt auf etwas herab
a group of people walking through a wooded park,eine gruppe von personen läuft durch einen baumreichen park
the group is watch a cartoon on a small electric device,die gruppe sieht sich auf einem kleinen elektrischen gerät ein video an
young children playing in a pile of toilet paper,kinder spielen in einem haufen toilettenpapier
a guy in a plaid shirt walking with a black bag hanging from his shoulder,ein gehender kerl im karierten hemd mit einer schwarzen tasche die von seiner schulter hängt
two girls are kicking each other in martial arts uniforms,zwei mädchen treten sich in kampfsportanzügen gekleidet gegenseitig
a young boy with blond-hair and blue eyes stands amidst a truck bed of watermelons while family members stand in the background,ein kleiner junge mit blondem haar und blauen augen steht inmitten einer wagenladung wassermelonen und im hintergrund stehen familienmitglieder
a man climbing the rocky face of a mountain,ein mann klettert die felsige seite eines berges hoch
the man is walking towards a group of people on a long dirt road,der mann geht auf einer langen unbefestigten straße auf eine gruppe von menschen zu
a football coach wearing a white shirt and black visor has his arm around one of his players on the sidelines,ein footballtrainer in einem weißen oberteil und schwarzer schirmmütze hat den arm um einen seiner spieler an der seitenlinie gelegt
a man in a white hard hat pulls a sea probe that is hoisted over the side of the boat,ein mann mit weißem schutzhelm zieht eine meeressonde zu sich heran die über der bootsseite hängt
one boy in a striped shirt and one girl in a green shirt each riding on bicycles with training wheels,ein junge in einem gestreiften hemd und ein mädchen in einer grünen hemdbluse fahren auf fahrrädern mit stützrädern
a woman is sitting by a desk crafting necklaces out of assorted beads by hand,ein frau sitzt an einem schreibtisch und bastelt halsketten aus sortierten perlen
there are two policemen standing by three elderly men,zwei polizisten stehen bei drei älteren männern
a man on skis is performing a stunt at an event with many people in the background,ein mann auf ski macht auf einer veranstaltung mit vielen personen im hintergrund einen stunt
two asian men work with dough,zwei asiaten arbeiten mit teig
five men hauling in a fishing net on the beach,fünf männer ziehen ein fischernetz auf den strand
some people with black belts or black and red belts are performing martial arts on a green mat,einige personen mit schwarzen gürteln oder schwarzen und roten gürteln praktizieren kampfsport auf einer grünen matte
